,short_title,icd9_code,long_title
124,TB of eye-unspec,01730,"Tuberculosis of eye, unspecified"
125,TB of eye-no exam,01731,"Tuberculosis of eye, bacteriological or histological examination not done"
126,TB of eye-exam unkn,01732,"Tuberculosis of eye, bacteriological or histological examination unknown (at present)"
127,TB of eye-micro dx,01733,"Tuberculosis of eye, tubercle bacilli found (in sputum) by microscopy"
128,TB of eye-cult dx,01734,"Tuberculosis of eye, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
129,TB of eye-histo dx,01735,"Tuberculosis of eye, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
130,TB of eye-oth test,01736,"Tuberculosis of eye, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
131,TB of ear-unspec,01740,"Tuberculosis of ear, unspecified"
132,TB of ear-no exam,01741,"Tuberculosis of ear, bacteriological or histological examination not done"
133,TB of ear-exam unkn,01742,"Tuberculosis of ear, bacteriological or histological examination unknown (at present)"
134,TB of ear-micro dx,01743,"Tuberculosis of ear, tubercle bacilli found (in sputum) by microscopy"
135,TB of ear-cult dx,01744,"Tuberculosis of ear, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
136,TB of ear-histo dx,01745,"Tuberculosis of ear, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
137,TB of ear-oth test,01746,"Tuberculosis of ear, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
138,TB of thyroid-unspec,01750,"Tuberculosis of thyroid gland, unspecified"
139,TB of thyroid-no exam,01751,"Tuberculosis of thyroid gland, bacteriological or histological examination not done"
140,TB of thyroid-exam unkn,01752,"Tuberculosis of thyroid gland, bacteriological or histological examination unknown (at present)"
141,TB of thyroid-micro dx,01753,"Tuberculosis of thyroid gland, tubercle bacilli found (in sputum) by microscopy"
142,TB of thyroid-cult dx,01754,"Tuberculosis of thyroid gland, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
143,TB of thyroid-histo dx,01755,"Tuberculosis of thyroid gland, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
144,TB of thyroid-oth test,01756,"Tuberculosis of thyroid gland, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
145,TB of adrenal-unspec,01760,"Tuberculosis of adrenal glands, unspecified"
146,TB of adrenal-no exam,01761,"Tuberculosis of adrenal glands, bacteriological or histological examination not done"
147,TB of adrenal-exam unkn,01762,"Tuberculosis of adrenal glands, bacteriological or histological examination unknown (at present)"
148,TB of adrenal-micro dx,01763,"Tuberculosis of adrenal glands, tubercle bacilli found (in sputum) by microscopy"
149,TB of adrenal-cult dx,01764,"Tuberculosis of adrenal glands, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
150,TB of adrenal-histo dx,01765,"Tuberculosis of adrenal glands, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
151,TB of adrenal-oth test,01766,"Tuberculosis of adrenal glands, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
152,TB of spleen-unspec,01770,"Tuberculosis of spleen, unspecified"
153,TB of spleen-no exam,01771,"Tuberculosis of spleen, bacteriological or histological examination not done"
154,TB of spleen-exam unkn,01772,"Tuberculosis of spleen, bacteriological or histological examination unknown (at present)"
155,TB of spleen-micro dx,01773,"Tuberculosis of spleen, tubercle bacilli found (in sputum) by microscopy"
156,Gambian trypanosomiasis,0863,Gambian trypanosomiasis
157,TB of spleen-cult dx,01774,"Tuberculosis of spleen, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
158,TB of spleen-histo dx,01775,"Tuberculosis of spleen, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
159,TB of spleen-oth test,01776,"Tuberculosis of spleen, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
160,TB esophagus-unspec,01780,"Tuberculosis of esophagus, unspecified"
161,TB esophagus-no exam,01781,"Tuberculosis of esophagus, bacteriological or histological examination not done"
162,TB esophagus-exam unkn,01782,"Tuberculosis of esophagus, bacteriological or histological examination unknown (at present)"
163,TB esophagus-micro dx,01783,"Tuberculosis of esophagus, tubercle bacilli found (in sputum) by microscopy"
164,TB esophagus-cult dx,01784,"Tuberculosis of esophagus, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
165,TB esophagus-histo dx,01785,"Tuberculosis of esophagus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
166,TB esophagus-oth test,01786,"Tuberculosis of esophagus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
167,TB of organ NEC-unspec,01790,"Tuberculosis of other specified organs, unspecified"
168,TB of organ NEC-no exam,01791,"Tuberculosis of other specified organs, bacteriological or histological examination not done"
169,Amebic liver abscess,0063,Amebic liver abscess
170,Amebic lung abscess,0064,Amebic lung abscess
171,Amebic brain abscess,0065,Amebic brain abscess
172,Amebic skin ulceration,0066,Amebic skin ulceration
173,Amebic infection NEC,0068,Amebic infection of other sites
174,Amebiasis NOS,0069,"Amebiasis, unspecified"
175,Balantidiasis,0070,Balantidiasis
176,Giardiasis,0071,Giardiasis
177,Coccidiosis,0072,Coccidiosis
178,Intest trichomoniasis,0073,Intestinal trichomoniasis
179,Cryptosporidiosis,0074,Cryptosporidiosis
180,Cyclosporiasis,0075,Cyclosporiasis
181,Protozoal intest dis NEC,0078,Other specified protozoal intestinal diseases
182,Protozoal intest dis NOS,0079,Unspecified protozoal intestinal disease
183,Intest infec e coli NOS,00800,"Intestinal infection due to E. coli, unspecified"
184,Int inf e coli entrpath,00801,Intestinal infection due to enteropathogenic E. coli
185,Int inf e coli entrtoxgn,00802,Intestinal infection due to enterotoxigenic E. coli
186,Int inf e coli entrnvsv,00803,Intestinal infection due to enteroinvasive E. coli
187,Int inf e coli entrhmrg,00804,Intestinal infection due to enterohemorrhagic E. coli
188,Int inf e coli spcf NEC,00809,Intestinal infection due to other intestinal E. coli infections
189,Arizona enteritis,0081,Intestinal infection due to arizona group of paracolon bacilli
190,Aerobacter enteritis,0082,Intestinal infection due to aerobacter aerogenes
191,Proteus enteritis,0083,Intestinal infection due to proteus (mirabilis) (morganii)
192,Staphylococc enteritis,00841,Intestinal infection due to staphylococcus
193,Pseudomonas enteritis,00842,Intestinal infection due to pseudomonas
194,Int infec campylobacter,00843,Intestinal infection due to campylobacter
195,Int inf yrsnia entrcltca,00844,Intestinal infection due to yersinia enterocolitica
196,Int inf clstrdium dfcile,00845,Intestinal infection due to Clostridium difficile
197,Intes infec oth anerobes,00846,Intestinal infection due to other anaerobes
198,Int inf oth grm neg bctr,00847,Intestinal infection due to other gram-negative bacteria
199,Bacterial enteritis NEC,00849,Intestinal infection due to other organisms
200,Bacterial enteritis NOS,0085,"Bacterial enteritis, unspecified"
201,Intes infec rotavirus,00861,Enteritis due to rotavirus
202,Intes infec adenovirus,00862,Enteritis due to adenovirus
203,Int inf norwalk virus,00863,Enteritis due to norwalk virus
204,Int inf oth sml rnd vrus,00864,Enteritis due to other small round viruses [SRV's]
205,Enteritis d/t calicivirs,00865,Enteritis due to calicivirus
206,Intes infec astrovirus,00866,Enteritis due to astrovirus
207,Int inf enterovirus NEC,00867,Enteritis due to enterovirus nec
208,Other viral intes infec,00869,Enteritis due to other viral enteritis
209,Viral enteritis NOS,0088,"Intestinal infection due to other organism, not elsewhere classified"
210,Infectious enteritis NOS,0090,"Infectious colitis, enteritis, and gastroenteritis"
211,Enteritis of infect orig,0091,"Colitis, enteritis, and gastroenteritis of presumed infectious origin"
212,Infectious diarrhea NOS,0092,Infectious diarrhea
213,Diarrhea of infect orig,0093,Diarrhea of presumed infectious origin
214,Prim TB complex-unspec,01000,"Primary tuberculous infection, unspecified"
215,Prim TB complex-no exam,01001,"Primary tuberculous infection, bacteriological or histological examination not done"
216,Prim TB complex-exm unkn,01002,"Primary tuberculous infection, bacteriological or histological examination unknown (at present)"
217,Prim TB complex-micro dx,01003,"Primary tuberculous infection, tubercle bacilli found (in sputum) by microscopy"
218,Prim TB complex-cult dx,01004,"Primary tuberculous infection, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
219,Prim TB complex-histo dx,01005,"Primary tuberculous infection, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
220,Prim TB complex-oth test,01006,"Primary tuberculous infection, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
221,Prim TB pleurisy-unspec,01010,"Tuberculous pleurisy in primary progressive tuberculosis, unspecified"
222,Prim TB pleurisy-no exam,01011,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination not done"
223,Rhodesian trypanosomias,0864,Rhodesian trypanosomiasis
224,Prim TB pleur-exam unkn,01012,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination unknown (at present)"
225,Prim TB pleuris-micro dx,01013,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy"
226,Prim TB pleurisy-cult dx,01014,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
227,Prim TB pleuris-histo dx,01015,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
228,Prim TB pleuris-oth test,01016,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
229,Prim prog TB NEC-unspec,01080,"Other primary progressive tuberculosis, unspecified"
230,Prim prog TB NEC-no exam,01081,"Other primary progressive tuberculosis, bacteriological or histological examination not done"
231,Prim pr TB NEC-exam unkn,01082,"Other primary progressive tuberculosis, bacteriological or histological examination unknown (at present)"
232,Prim prg TB NEC-micro dx,01083,"Other primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy"
233,Prim prog TB NEC-cult dx,01084,"Other primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
234,Prim prg TB NEC-histo dx,01085,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
235,Prim prg TB NEC-oth test,01086,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
236,Primary TB NOS-unspec,01090,"Primary tuberculous infection, unspecified, unspecified"
237,Primary TB NOS-no exam,01091,"Primary tuberculous infection, unspecified, bacteriological or histological examination not done"
238,Primary TB NOS-exam unkn,01092,"Primary tuberculous infection, unspecified, bacteriological or histological examination unknown (at present)"
239,Primary TB NOS-micro dx,01093,"Primary tuberculous infection, unspecified, tubercle bacilli found (in sputum) by microscopy"
240,Primary TB NOS-cult dx,01094,"Primary tuberculous infection, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
241,Primary TB NOS-histo dx,01095,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
242,Primary TB NOS-oth test,01096,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
243,TB lung infiltr-unspec,01100,"Tuberculosis of lung, infiltrative, unspecified"
244,TB lung infiltr-no exam,01101,"Tuberculosis of lung, infiltrative, bacteriological or histological examination not done"
245,TB lung infiltr-exm unkn,01102,"Tuberculosis of lung, infiltrative, bacteriological or histological examination unknown (at present)"
246,TB lung infiltr-micro dx,01103,"Tuberculosis of lung, infiltrative, tubercle bacilli found (in sputum) by microscopy"
247,TB lung infiltr-cult dx,01104,"Tuberculosis of lung, infiltrative, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
248,TB lung infiltr-histo dx,01105,"Tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
249,TB lung infiltr-oth test,01106,"Tuberculosis of lung, infiltrative, tubercle bacilli not found bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
250,TB lung nodular-unspec,01110,"Tuberculosis of lung, nodular, unspecified"
251,TB lung nodular-no exam,01111,"Tuberculosis of lung, nodular, bacteriological or histological examination not done"
252,TB lung nodul-exam unkn,01112,"Tuberculosis of lung, nodular, bacteriological or histological examination unknown (at present)"
253,TB lung nodular-micro dx,01113,"Tuberculosis of lung, nodular, tubercle bacilli found (in sputum) by microscopy"
254,TB lung nodular-cult dx,01114,"Tuberculosis of lung, nodular, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
255,TB lung nodular-histo dx,01115,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
256,TB lung nodular-oth test,01116,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
257,TB lung w cavity-unspec,01120,"Tuberculosis of lung with cavitation, unspecified"
258,TB lung w cavity-no exam,01121,"Tuberculosis of lung with cavitation, bacteriological or histological examination not done"
259,TB lung cavity-exam unkn,01122,"Tuberculosis of lung with cavitation, bacteriological or histological examination unknown (at present)"
260,TB lung w cavit-micro dx,01123,"Tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy"
261,TB lung w cavity-cult dx,01124,"Tuberculosis of lung with cavitation, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
262,TB lung w cavit-histo dx,01125,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
263,TB lung w cavit-oth test,01126,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
264,TB of bronchus-unspec,01130,"Tuberculosis of bronchus, unspecified"
265,TB of bronchus-no exam,01131,"Tuberculosis of bronchus, bacteriological or histological examination not done"
266,TB of bronchus-exam unkn,01132,"Tuberculosis of bronchus, bacteriological or histological examination unknown (at present)"
267,TB of bronchus-micro dx,01133,"Tuberculosis of bronchus, tubercle bacilli found (in sputum) by microscopy"
268,TB of bronchus-cult dx,01134,"Tuberculosis of bronchus, tubercle bacilli not found (in sputum) by microscopy, but found in bacterial culture"
269,Chagas disease NOS,0862,Chagas' disease without mention of organ involvement
270,Keloid scar,7014,Keloid scar
271,TB of bronchus-histo dx,01135,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
