,icd9_code,short_title,long_title
41,0953,Lacrimal sac incision,Incision of lacrimal sac
42,0959,Lacrim passage incis NEC,Other incision of lacrimal passages
43,096,Lacrim sac/passage excis,Excision of lacrimal sac and passage
44,0971,Correct everted punctum,Correction of everted punctum
45,0972,Punctum repair NEC,Other repair of punctum
46,0973,Canaliculus repair,Repair of canaliculus
47,0981,Dacryocystorhinostomy,Dacryocystorhinostomy [DCR]
48,0982,Conjunctivocystorhinost,Conjunctivocystorhinostomy
49,0983,Conjunctivorhinos w tube,Conjunctivorhinostomy with insertion of tube or stent
50,0411,Clos periph nerve biopsy,Closed [percutaneous] [needle] biopsy of cranial or peripheral nerve or ganglion
51,0412,Open periph nerve biopsy,Open biopsy of cranial or peripheral nerve or ganglion
52,0419,Periph nerve dx proc NEC,Other diagnostic procedures on cranial and peripheral nerves and ganglia
53,042,Periph nerve destruction,Destruction of cranial and peripheral nerves
54,043,Peripheral nerve suture,Suture of cranial and peripheral nerves
55,0441,Decompress trigem root,Decompression of trigeminal nerve root
56,0442,Cran nerv root decom NEC,Other cranial nerve decompression
57,0443,Carpal tunnel release,Release of carpal tunnel
58,0444,Tarsal tunnel release,Release of tarsal tunnel
59,0449,Per nerve adhesiolys NEC,Other peripheral nerve or ganglion decompression or lysis of adhesions
60,045,Peripheral nerve graft,Cranial or peripheral nerve graft
61,046,Periph nerve transposit,Transposition of cranial and peripheral nerves
62,0471,Hypogloss-facial anastom,Hypoglossal-facial anastomosis
63,0472,Accessory-facial anastom,Accessory-facial anastomosis
64,0473,Access-hypogloss anastom,Accessory-hypoglossal anastomosis
65,0474,Periph nerv anastom NEC,Other anastomosis of cranial or peripheral nerve
66,0475,Postop revis per nerv op,Revision of previous repair of cranial and peripheral nerves
67,0476,Late repair per nerv inj,Repair of old traumatic injury of cranial and peripheral nerves
68,0479,Other neuroplasty,Other neuroplasty
69,0480,Periph nerve inject NOS,"Peripheral nerve injection, not otherwise specified"
70,0481,Anesth injec periph nerv,Injection of anesthetic into peripheral nerve for analgesia
71,0489,Periph nerve inject NEC,"Injection of other agent, except neurolytic"
72,0491,Neurectasis,Neurectasis
73,0492,Imp/repl peri stim lead,Implantation or replacement of peripheral neurostimulator lead(s)
74,0493,Removal peri stim lead,Removal of peripheral neurostimulator lead(s)
75,0499,Peripheral nerve ops NEC,Other operations on cranial and peripheral nerves
76,050,Sympath nerve division,Division of sympathetic nerve or ganglion
77,0511,Sympathetic nerve biopsy,Biopsy of sympathetic nerve or ganglion
78,0519,Sympath nrv dx proc NEC,Other diagnostic procedures on sympathetic nerves or ganglia
79,0521,Sphenopalatin ganglionec,Sphenopalatine ganglionectomy
80,0522,Cervical sympathectomy,Cervical sympathectomy
81,0523,Lumbar sympathectomy,Lumbar sympathectomy
82,0524,Presacral sympathectomy,Presacral sympathectomy
83,0525,Periart sympathectomy,Periarterial sympathectomy
84,0529,Other sympathectomy,Other sympathectomy and ganglionectomy
85,0531,Anesth inject symp nerve,Injection of anesthetic into sympathetic nerve for analgesia
86,0532,Neurolyt injec-symp nrv,Injection of neurolytic agent into sympathetic nerve
87,0539,Sympath nerve inject NEC,Other injection into sympathetic nerve or ganglion
88,0581,Sympathetic nerve repair,Repair of sympathetic nerve or ganglion
89,0589,Sympathetic nerve op NEC,Other operations on sympathetic nerves or ganglia
90,059,Other nervous system ops,Other operations on nervous system
91,0601,Thyroid field aspiration,Aspiration of thyroid field
92,0602,Reopen thyroid field wnd,Reopening of wound of thyroid field
93,0609,Incis thyroid field NEC,Other incision of thyroid field
94,0611,Closed thyroid gland bx,Closed [percutaneous] [needle] biopsy of thyroid gland
95,0612,Open thyroid gland bx,Open biopsy of thyroid gland
96,0613,Parathyroid biopsy,Biopsy of parathyroid gland
97,0619,Thyr/parathy dx proc NEC,Other diagnostic procedures on thyroid and parathyroid glands
98,062,Unilat thyroid lobectomy,Unilateral thyroid lobectomy
99,0631,Excision thyroid lesion,Excision of lesion of thyroid
100,0639,Part thyroidectomy NEC,Other partial thyroidectomy
101,064,Complete thyroidectomy,Complete thyroidectomy
102,0650,Substern thyroidect NOS,"Substernal thyroidectomy, not otherwise specified"
103,0651,Part substern thyroidect,Partial substernal thyroidectomy
104,0652,Tot substern thyroidect,Complete substernal thyroidectomy
105,066,Lingual thyroid excision,Excision of lingual thyroid
106,067,Thyrogloss duct excision,Excision of thyroglossal duct or tract
107,0681,Total parathyroidectomy,Complete parathyroidectomy
108,0689,Other parathyroidectomy,Other parathyroidectomy
109,0691,Thyroid isthmus division,Division of thyroid isthmus
110,0692,Thyroid vessel ligation,Ligation of thyroid vessels
111,0693,Thyroid suture,Suture of thyroid gland
112,0694,Thyroid reimplantation,Thyroid tissue reimplantation
113,0695,Parathyroid reimplant,Parathyroid tissue reimplantation
114,0698,Other thyroid operations,Other operations on thyroid glands
115,0699,Other parathyroid ops,Other operations on parathyroid glands
116,0700,Adrenal exploration NOS,"Exploration of adrenal field, not otherwise specified"
117,0701,Unilat adrenal explorat,Unilateral exploration of adrenal field
118,0702,Bilat adrenal explorat,Bilateral exploration of adrenal field
119,0711,Closed adrenal gland bx,Closed [percutaneous] [needle] biopsy of adrenal gland
120,0712,Open adrenal gland bx,Open biopsy of adrenal gland
121,0713,Transfront pituitary bx,"Biopsy of pituitary gland, transfrontal approach"
122,0714,Transphen pituitary bx,"Biopsy of pituitary gland, transsphenoidal approach"
123,0715,Pituitary biopsy NOS,"Biopsy of pituitary gland, unspecified approach"
124,0716,Thymus biopsy,Biopsy of thymus
125,0717,Pineal biopsy,Biopsy of pineal gland
126,0719,Endocrine dx proc NEC,"Other diagnostic procedures on adrenal glands, pituitary gland, pineal gland, and thymus"
127,0721,Adrenal lesion excision,Excision of lesion of adrenal gland
128,0722,Unilateral adrenalectomy,Unilateral adrenalectomy
129,0729,Part adrenalectomy NEC,Other partial adrenalectomy
130,073,Bilateral adrenalectomy,Bilateral adrenalectomy
131,0741,Adrenal incision,Incision of adrenal gland
132,0742,Adrenal nerve division,Division of nerves to adrenal glands
133,0743,Adrenal vessel ligation,Ligation of adrenal vessels
134,0744,Adrenal repair,Repair of adrenal gland
135,0745,Adrenal reimplantation,Reimplantation of adrenal tissue
136,0749,Adrenal operation NEC,"Other operations on adrenal glands, nerves, and vessels"
137,0751,Pineal field exploration,Exploration of pineal field
138,0752,Pineal gland incision,Incision of pineal gland
139,0753,Partial pinealectomy,Partial excision of pineal gland
140,0754,Total pinealectomy,Total excision of pineal gland
141,0759,Pineal operation NEC,Other operations on pineal gland
142,0761,Exc pituit les-transfron,"Partial excision of pituitary gland, transfrontal approach"
143,0762,Exc pituit les-transphen,"Partial excision of pituitary gland, transsphenoidal approach"
144,0763,Part excis pituitary NOS,"Partial excision of pituitary gland, unspecified approach"
145,0764,Tot exc pituit-transfron,"Total excision of pituitary gland, transfrontal approach"
146,0765,Tot exc pituit-transphen,"Total excision of pituitary gland, transsphenoidal approach"
147,0768,Total exc pituitary NEC,"Total excision of pituitary gland, other specified approach"
148,0769,Total exc pituitary NOS,"Total excision of pituitary gland, unspecified approach"
149,0771,Pituitary fossa explorat,Exploration of pituitary fossa
150,0772,Pituitary gland incision,Incision of pituitary gland
151,0779,Pituitary operation NEC,Other operations on hypophysis
152,0780,Thymectomy NOS,"Thymectomy, not otherwise specified"
153,0781,Oth part excision thymus,Other partial excision of thymus
154,0782,Oth totl excision thymus,Other total excision of thymus
155,0783,Thorac part exisn thymus,Thoracoscopic partial excision of thymus
156,0784,Thorac total exc thymus,Thoracoscopic total excision of thymus
157,0791,Thymus field exploration,Exploration of thymus field
158,0792,Other incision of thymus,Other incision of thymus
159,0793,Repair of thymus,Repair of thymus
160,0794,Thymus transplantation,Transplantation of thymus
161,0795,Thorac incision thymus,Thoracoscopic incision of thymus
162,0798,Oth thorac op thymus NOS,Other and unspecified thoracoscopic operations on thymus
163,0799,Other thymus ops NOS,Other and unspecified operations on thymus
164,0801,Incision of lid margin,Incision of lid margin
165,0802,Blepharorrhaphy severing,Severing of blepharorrhaphy
166,0809,Other eyelid incision,Other incision of eyelid
167,0811,Eyelid biopsy,Biopsy of eyelid
168,0819,Eyelid dx procedure NEC,Other diagnostic procedures on eyelid
169,0820,Remove eyelid lesion NOS,"Removal of lesion of eyelid, not otherwise specified"
170,0821,Chalazion excision,Excision of chalazion
171,0822,Excise minor les lid NEC,Excision of other minor lesion of eyelid
172,0823,Exc maj les lid prt-thic,"Excision of major lesion of eyelid, partial-thickness"
173,0824,Exc maj les lid ful-thic,"Excision of major lesion of eyelid, full-thickness"
174,0825,Destruction lid lesion,Destruction of lesion of eyelid
175,0831,Ptosis rep-front mus sut,Repair of blepharoptosis by frontalis muscle technique with suture
176,0832,Ptosis rep-fron mus slng,Repair of blepharoptosis by frontalis muscle technique with fascial sling
177,0833,Ptosis rep-levat mus adv,Repair of blepharoptosis by resection or advancement of levator muscle or aponeurosis
178,0834,Ptosis rep-levat mus NEC,Repair of blepharoptosis by other levator muscle techniques
179,0835,Ptos rep-tarsal techniq,Repair of blepharoptosis by tarsal technique
180,0836,Blepharoptos repair NEC,Repair of blepharoptosis by other techniques
181,0837,Reduc overcorrect ptosis,Reduction of overcorrection of ptosis
182,0838,Correct lid retraction,Correction of lid retraction
183,0841,Thermocaut/entropion rep,Repair of entropion or ectropion by thermocauterization
184,0842,Suture entropion repair,Repair of entropion or ectropion by suture technique
185,0843,Wedg resec entropion rep,Repair of entropion or ectropion with wedge resection
186,1421,Chorioret les diathermy,Destruction of chorioretinal lesion by diathermy
187,1422,Chorioretin les cryother,Destruction of chorioretinal lesion by cryotherapy
188,2932,Pharyngeal diverticulec,Pharyngeal diverticulectomy
189,1423,Chorioret les xenon coag,Destruction of chorioretinal lesion by xenon arc photocoagulation
190,1424,Chorioret les laser coag,Destruction of chorioretinal lesion by laser photocoagulation
191,1425,Chorioret les p/coag NOS,Destruction of chorioretinal lesion by photocoagulation of unspecified type
192,1426,Chorioret les radiother,Destruction of chorioretinal lesion by radiation therapy
193,1427,Chorioret les rad implan,Destruction of chorioretinal lesion by implantation of radiation source
194,1429,Chorioret les destr NEC,Other destruction of chorioretinal lesion
195,1431,Retinal tear diathermy,Repair of retinal tear by diathermy
196,1432,Retinal tear cryotherapy,Repair of retinal tear by cryotherapy
197,1433,Retinal tear xenon coag,Repair of retinal tear by xenon arc photocoagulation
198,1434,Retinal tear laser coag,Repair of retinal tear by laser photocoagulation
199,1435,Retina tear photocoa NOS,Repair of retinal tear by photocoagulation of unspecified type
200,1439,Retinal tear repair NEC,Other repair of retinal tear
201,1441,Scleral buckle w implant,Scleral buckling with implant
202,1449,Scleral buckling NEC,Other scleral buckling
203,1451,Detach retina-diathermy,Repair of retinal detachment with diathermy
204,1452,Detach retina-cryotherap,Repair of retinal detachment with cryotherapy
205,1453,Detach retina xenon coag,Repair of retinal detachment with xenon arc photocoagulation
206,1454,Detach retina laser coag,Repair of retinal detachment with laser photocoagulation
207,1455,Detach ret photocoag NOS,Repair of retinal detachment with photocoagulation of unspecified type
208,1459,Repair retina detach NEC,Other repair of retinal detachment
209,146,Remov pros mat post seg,Removal of surgically implanted material from posterior segment of eye
210,1471,Anterior remov vitreous,"Removal of vitreous, anterior approach"
211,1472,Vitreous removal NEC,Other removal of vitreous
212,1473,Anterior mechan vitrect,Mechanical vitrectomy by anterior approach
213,1474,Mech vitrectomy NEC,Other mechanical vitrectomy
214,1475,Vitreous substitut injec,Injection of vitreous substitute
215,1479,Vitreous operation NEC,Other operations on vitreous
216,1481,Imp epiretinal prosth,Implantation of epiretinal visual prosthesis
217,1482,Rem epiretinal prosth,Removal of epiretinal visual prosthesis
218,1483,Rev/repl epiretinal pros,Revision or replacement of epiretinal visual prosthesis
219,149,Other post segment ops,"Other operations on retina, choroid, and posterior chamber"
220,1501,Extraoc musc-tend biopsy,Biopsy of extraocular muscle or tendon
221,1509,Extraoc musc dx proc NEC,Other diagnostic procedures on extraocular muscles and tendons
222,1511,One extraoc mus recess,Recession of one extraocular muscle
223,1512,1 extraoc muscl advance,Advancement of one extraocular muscle
224,1513,1 extraoc muscl resect,Resection of one extraocular muscle
225,1519,Xtraoc mus op/detach NEC,Other operations on one extraocular muscle involving temporary detachment from globe
226,1521,Lengthen 1 extraoc musc,Lengthening procedure on one extraocular muscle
227,1522,Shorten 1 extraoc musc,Shortening procedure on one extraocular muscle
228,1529,Op on 1 extraoc musc NEC,Other operations on one extraocular muscle
229,153,Temp detach >1 xtroc mus,"Operations on two or more extraocular muscles involving temporary detachment from globe, one or both eyes"
230,154,Oth op on >l extraoc mus,"Other operations on two or more extraocular muscles, one or both eyes"
231,155,Extraocul mus transposit,Transposition of extraocular muscles
232,156,Revis extraoc musc surg,Revision of extraocular muscle surgery
233,157,Extraoc musc inj repair,Repair of injury of extraocular muscle
234,159,Oth extraoc mus-tend op,Other operations on extraocular muscles and tendons
235,1713,Lap ing hern-graft NOS,"Laparoscopic repair of inguinal hernia with graft or prosthesis, not otherwise specified"
236,1721,Lap bil dir ing hrn-grft,Laparoscopic bilateral repair of direct inguinal hernia with graft or prosthesis
237,1722,Lap bi indir ing hrn-grf,Laparoscopic bilateral repair of indirect inguinal hernia with graft or prosthesis
238,1723,Lap bi dr/ind ing hrn-gr,"Laparoscopic bilateral repair of inguinal hernia, one direct and one indirect, with graft or prosthesis"
239,1724,Lap bil ing hern-grf NOS,"Laparoscopic bilateral repair of inguinal hernia with graft or prosthesis, not otherwise specified"
240,1731,Lap mul seg res lg intes,Laparoscopic multiple segmental resection of large intestine
241,1732,Laparoscopic cecectomy,Laparoscopic cecectomy
242,1733,Lap right hemicolectomy,Laparoscopic right hemicolectomy
243,1734,Lap res transverse colon,Laparoscopic resection of transverse colon
244,1735,Lap left hemicolectomy,Laparoscopic left hemicolectomy
245,1736,Lap sigmoidectomy,Laparoscopic sigmoidectomy
246,1739,Lap pt ex lrg intest NEC,Other laparoscopic partial excision of large intestine
247,1601,Orbitotomy w bone flap,Orbitotomy with bone flap
248,1602,Orbitotomy w implant,Orbitotomy with insertion of orbital implant
249,1609,Orbitotomy NEC,Other orbitotomy
250,161,Remove penetrat FB eye,"Removal of penetrating foreign body from eye, not otherwise specified"
251,1621,Ophthalmoscopy,Ophthalmoscopy
252,1622,Diagnostic asp of orbit,Diagnostic aspiration of orbit
253,1623,Eyeball & orbit biopsy,Biopsy of eyeball and orbit
254,1629,Eyebal/orbit dx proc NEC,Other diagnostic procedures on orbit and eyeball
255,1631,Eye evisc w synch implan,Removal of ocular contents with synchronous implant into scleral shell
256,1639,Eyeball evisceration NEC,Other evisceration of eyeball
257,1641,Eye enuc/implan/musc att,Enucleation of eyeball with synchronous implant into Tenon's capsule with attachment of muscles
258,1642,Eye enuc w implant NEC,Enucleation of eyeball with other synchronous implant
259,1649,Eyeball enucleation NEC,Other enucleation of eyeball
260,1651,Radical orbitomaxillect,Exenteration of orbit with removal of adjacent structures
261,1652,Orbit exent w bone remov,Exenteration of orbit with therapeutic removal of orbital bone
262,1659,Orbital exenteration NEC,Other exenteration of orbit
263,1661,2ndry ocular imp insert,Secondary insertion of ocular implant
264,1662,Revis/reinsert ocul imp,Revision and reinsertion of ocular implant
265,1663,Revis enuc socket w grft,Revision of enucleation socket with graft
266,1664,Enuc socket revis NEC,Other revision of enucleation socket
267,1665,2ndry exent cavity graft,Secondary graft to exenteration cavity
268,1666,Revis exenter cavity NEC,Other revision of exenteration cavity
269,1669,2nd op post eye rem NEC,Other secondary procedures after removal of eyeball
270,1671,Remove ocular implant,Removal of ocular implant
271,1672,Remove orbital implant,Removal of orbital implant
272,1681,Repair of orbital wound,Repair of wound of orbit
273,0063,Perc ins carotid stent,Percutaneous insertion of carotid artery stent(s)
274,0064,Perc ins extracran stent,Percutaneous insertion of other extracranial artery stent(s)
275,0065,Perc ins intracran stent,Percutaneous insertion of intracranial vascular stent(s)
276,0066,PTCA,Percutaneous transluminal coronary angioplasty [PTCA]
277,0067,Intravas msmnt thorc art,Intravascular pressure measurement of intrathoracic arteries
278,0068,Intravas msmt periph art,Intravascular pressure measurement of peripheral arteries
279,0069,Intravs msmt ves NEC/NOS,"Intravascular pressure measurement, other specified and unspecified vessels"
280,0070,Rev hip repl-acetab/fem,"Revision of hip replacement, both acetabular and femoral components"
281,0071,Rev hip repl-acetab comp,"Revision of hip replacement, acetabular component"
282,0072,Rev hip repl-fem comp,"Revision of hip replacement, femoral component"
283,0073,Rev hip repl-liner/head,"Revision of hip replacement, acetabular liner and/or femoral head only"
284,0074,"Hip surface, metal/poly","Hip bearing surface, metal-on-polyethylene"
285,0075,"Hip surface, metal/metal","Hip bearing surface, metal-on-metal"
286,0076,"Hip surface, cermc/cermc","Hip bearing surface, ceramic-on-ceramic"
287,0077,"Hip surface, cermc/poly","Hip bearing surface, ceramic-on-polyethylene"
288,0080,Rev knee replacemt-total,"Revision of knee replacement, total (all components)"
289,0081,Rev knee repl-tibia comp,"Revision of knee replacement, tibial component"
290,0082,Rev knee repl-femur comp,"Revision of knee replacement, femoral component"
291,0083,Rev knee replace-patella,"Revision of knee replacement, patellar component"
292,0084,Rev knee repl-tibia lin,"Revision of total knee replacement, tibial insert (liner)"
293,0085,"Resrf hip,total-acet/fem","Resurfacing hip, total, acetabulum and femoral head"
294,0086,"Resrf hip,part-fem head","Resurfacing hip, partial, femoral head"
295,0087,"Resrf hip,part-acetablum","Resurfacing hip, partial, acetabulum"
296,0091,Trnsplnt live rel donor,Transplant from live related donor
297,0092,Trnsplnt live nonrel don,Transplant from live non-related donor
298,0093,Transplant cadaver donor,Transplant from cadaver
299,0094,Intra-op neurophys montr,Intra-operative neurophysiologic monitoring
300,0095,Injct/infus glucarpidase,Injection or infusion of glucarpidase
301,0096,Infusion 4F-PCC,Infusion of 4-Factor Prothrombin Complex Concentrate
302,0101,Cisternal puncture,Cisternal puncture
303,0102,Ventricl shunt tube punc,Ventriculopuncture through previously implanted catheter
304,0109,Cranial puncture NEC,Other cranial puncture
305,0110,Intracran pressure montr,Intracranial pressure monitoring
306,0111,Clos cereb meninges bx,Closed [percutaneous] [needle] biopsy of cerebral meninges
307,0112,Open cereb meninges bx,Open biopsy of cerebral meninges
308,0113,Closed brain biopsy,Closed [percutaneous] [needle] biopsy of brain
309,0114,Open brain biopsy,Open biopsy of brain
310,0115,Skull biopsy,Biopsy of skull
311,0116,Intracranial 02 monitor,Intracranial oxygen monitoring
312,0117,Brain temp monitoring,Brain temperature monitoring
313,0118,Other brain dx procedure,Other diagnostic procedures on brain and cerebral meninges
314,0119,Other skull dx procedure,Other diagnostic procedures on skull
315,0120,Imp/repl brain pulse gen,Cranial implantation or replacement of neurostimulator pulse generator
316,0121,Cranial sinus i & d,Incision and drainage of cranial sinus
317,0122,Removal brain stim lead,Removal of intracranial neurostimulator lead(s)
318,0123,Reopen craniotomy site,Reopening of craniotomy site
319,0124,Other craniotomy,Other craniotomy
320,0125,Other craniectomy,Other craniectomy
321,0126,Ins cath cranial cav/tis,Insertion of catheter(s) into cranial cavity or tissue
322,0127,Rem cath cranial cav/tis,Removal of catheter(s) from cranial cavity or tissue
323,0128,Intracereb cth-burr hole,Placement of intracerebral catheter(s) via burr hole(s)
324,0129,Rem brain pulse generatr,Removal of cranial neurostimulator pulse generator
325,0001,Ther ult head & neck ves,Therapeutic ultrasound of vessels of head and neck
326,0002,Ther ultrasound of heart,Therapeutic ultrasound of heart
327,0003,Ther ult peripheral ves,Therapeutic ultrasound of peripheral vascular vessels
328,0009,Other therapeutic ultsnd,Other therapeutic ultrasound
329,0010,Implant chemothera agent,Implantation of chemotherapeutic agent
330,0011,Infus drotrecogin alfa,Infusion of drotrecogin alfa (activated)
331,0012,Adm inhal nitric oxide,Administration of inhaled nitric oxide
332,0013,Inject/infus nesiritide,Injection or infusion of nesiritide
333,0014,Injection oxazolidinone,Injection or infusion of oxazolidinone class of antibiotics
334,0015,High-dose infusion IL-2,High-dose infusion interleukin-2 [IL-2]
335,0016,Pressurized treat graft,Pressurized treatment of venous bypass graft [conduit] with pharmaceutical substance
336,0017,Infusion of vasopressor,Infusion of vasopressor agent
337,0018,Infus immunosup antibody,Infusion of immunosuppressive antibody therapy
338,0019,BBBD via infusion,Disruption of blood brain barrier via infusion [BBBD]
339,0021,IVUS extracran cereb ves,Intravascular imaging of extracranial cerebral vessels
340,0022,IVUS intrathoracic ves,Intravascular imaging of intrathoracic vessels
341,0023,IVUS peripheral vessels,Intravascular imaging of peripheral vessels
342,0024,IVUS coronary vessels,Intravascular imaging of coronary vessels
343,0025,IVUS renal vessels,Intravascular imaging of renal vessels
344,0028,Intravascul imaging NEC,"Intravascular imaging, other specified vessel(s)"
345,0029,Intravascul imaging NOS,"Intravascular imaging, unspecified vessel(s)"
346,0031,CAS w CT/CTA,Computer assisted surgery with CT/CTA
347,0032,CAS w MR/MRA,Computer assisted surgery with MR/MRA
348,0033,CAS w fluoroscopy,Computer assisted surgery with fluoroscopy
349,0034,Imageless comp asst surg,Imageless computer assisted surgery
350,0035,CAS w multiple datasets,Computer assisted surgery with multiple datasets
351,0039,Other CAS,Other computer assisted surgery
352,0040,Procedure-one vessel,Procedure on single vessel
353,0041,Procedure-two vessels,Procedure on two vessels
354,0042,Procedure-three vessels,Procedure on three vessels
355,0043,Procedure-four+ vessels,Procedure on four or more vessels
356,0044,Proc-vessel bifurcation,Procedure on vessel bifurcation
357,0045,Insert 1 vascular stent,Insertion of one vascular stent
358,0046,Insert 2 vascular stents,Insertion of two vascular stents
359,0047,Insert 3 vascular stents,Insertion of three vascular stents
360,0048,Insert 4+ vasculr stents,Insertion of four or more vascular stents
361,0049,SuperSat O2 therapy,Supersaturated oxygen therapy
362,0050,Impl CRT pacemaker sys,"Implantation of cardiac resynchronization pacemaker without mention of defibrillation, total system [CRT-P]"
363,0051,Impl CRT defibrillat sys,"Implantation of cardiac resynchronization defibrillator, total system [CRT-D]"
364,0052,Imp/rep lead lf ven sys,Implantation or replacement of transvenous lead [electrode] into left ventricular coronary venous system
365,0053,Imp/rep CRT pacemakr gen,Implantation or replacement of cardiac resynchronization pacemaker pulse generator only [CRT-P]
366,0054,Imp/rep CRT defib genat,Implantation or replacement of cardiac resynchronization defibrillator pulse generator only [CRT-D]
367,0055,Ins d-e stent oth periph,Insertion of drug-eluting stent(s) of other peripheral vessel(s)
368,0056,Ins/rep sens-crd/vsl mtr,Insertion or replacement of implantable pressure sensor with lead for intracardiac or great vessel hemodynamic monitoring
369,0057,Imp/rep subcue card dev,Implantation or replacement of subcutaneous device for intracardiac or great vessel hemodynamic monitoring
370,0058,Ins intra-ansm pres mntr,Insertion of intra-aneurysm sac pressure monitoring device (intraoperative)
371,0059,Intravasc msmnt cor art,Intravascular pressure measurement of coronary arteries
372,0060,Ins d-e stnt sup fem art,Insertion of drug-eluting stent(s) of superficial femoral artery
373,0061,Perc angio extracran ves,Percutaneous angioplasty of extracranial vessel(s)
374,0062,Perc angio intracran ves,Percutaneous angioplasty of intracranial vessel(s)
375,0331,Spinal tap,Spinal tap
376,0332,Spinal cord/meninges bx,Biopsy of spinal cord or spinal meninges
377,0339,Other spinal dx proc,Other diagnostic procedures on spinal cord and spinal canal structures
378,034,Excis spinal cord lesion,Excision or destruction of lesion of spinal cord or spinal meninges
379,0351,Spine meningocele repair,Repair of spinal meningocele
380,0352,Myelomeningocel repair,Repair of spinal myelomeningocele
381,0353,Vertebral fx repair,Repair of vertebral fracture
382,0359,Spinal struct repair NEC,Other repair and plastic operations on spinal cord structures
383,036,Spinal cord adhesiolysis,Lysis of adhesions of spinal cord and nerve roots
384,0371,Subarach-periton shunt,Spinal subarachnoid-peritoneal shunt
385,0372,Subarach-ureteral shunt,Spinal subarachnoid-ureteral shunt
386,0379,Oth spinal thecal shunt,Other shunt of spinal theca
387,038,Destr inject-spine canal,Injection of destructive agent into spinal canal
388,0390,Insert spinal canal cath,Insertion of catheter into spinal canal for infusion of therapeutic or palliative substances
389,0391,Anesth inject-spin canal,Injection of anesthetic into spinal canal for analgesia
390,0392,Spinal canal inject NEC,Injection of other agent into spinal canal
391,0393,Imp/repl spine stim lead,Implantation or replacement of spinal neurostimulator lead(s)
392,0394,Removal spine stim lead,Removal of spinal neurostimulator lead(s)
393,0395,Spinal patch,Spinal blood patch
394,0396,Percutan facet denervat,Percutaneous denervation of facet
395,0397,Revise spine theca shunt,Revision of spinal thecal shunt
396,0398,Remove spine theca shunt,Removal of spinal thecal shunt
397,0399,Spine canal struc op NEC,Other operations on spinal cord and spinal canal structures
398,0401,Excision acoustc neuroma,Excision of acoustic neuroma
399,0402,Trigeminal nerv division,Division of trigeminal nerve
400,0403,Periph nerve div NEC,Division or crushing of other cranial and peripheral nerves
401,0404,Periph nerve incis NEC,Other incision of cranial and peripheral nerves
402,0405,Gasserian ganglionectomy,Gasserian ganglionectomy
403,0406,Periph ganglionect NEC,Other cranial or peripheral ganglionectomy
