"Code","Descriptor","CodeSystem"
"20955-1","Salmonella sp identified in Stool by Organism specific culture","LOINC"
"23431-0","Salmonella gallinarum DNA [Presence] in Unspecified specimen by Probe and target amplification method","LOINC"
"23432-8","Salmonella gallinarum rRNA [Presence] in Unspecified specimen by DNA probe","LOINC"
"23435-1","Salmonella pullorum DNA [Presence] in Unspecified specimen by Probe and target amplification method","LOINC"
"23436-9","Salmonella pullorum rRNA [Presence] in Unspecified specimen by DNA probe","LOINC"
"23602-6","Salmonella enteritidis [Presence] in Stool by Organism specific culture","LOINC"
"34891-2","Salmonella enteritidis [Presence] in Unspecified specimen by Organism specific culture","LOINC"
"42255-0","Salmonella and Shigella sp identified in Unspecified specimen by Organism specific culture","LOINC"
"43371-4","Salmonella and Shigella sp identified in Stool by Organism specific culture","LOINC"
"48806-4","Salmonella sp+Shigella sp+Escherichia coli enterotoxic identified in Stool by Organism specific culture","LOINC"
"49612-5","Salmonella sp DNA [Presence] in Unspecified specimen by Probe and target amplification method","LOINC"
"53956-9","Salmonella typhi [Identifier] in Isolate by Agglutination","LOINC"
"56475-7","Salmonella sp antigenic formula [Identifier] in Isolate by Agglutination","LOINC"
"59846-6","Salmonella sp identified [Type] in Isolate","LOINC"
"61370-3","Salmonella enterica DNA [Presence] in Unspecified specimen by Probe and target amplification method","LOINC"
"65756-9","Salmonella sp serovar [Type] in Isolate","LOINC"
"70021-1","Salmonella typhi DNA [Presence] in Blood by Probe and target amplification method","LOINC"
"73672-8","Salmonella sp phage type in Isolate","LOINC"
"79383-6","Salmonella sp rpoD gene [Presence] in Stool by Probe and target amplification method","LOINC"
"80678-6","Salmonella sp invA+fliC genes [Presence] in Stool by Probe and target amplification method","LOINC"
"81657-9","Salmonella sp spaO gene [Presence] in Stool by Probe and target amplification method","LOINC"
"82199-1","Salmonella enterica+bongori DNA [Presence] in Stool by Target amplification with non-probe based detection","LOINC"
"82301-3","Salmonella sp [Presence] in Stool by Culture","LOINC"
"1009003","Salmonella Oakland (organism)","SNOMEDCT"
"10096007","Salmonella Leoben (organism)","SNOMEDCT"
"10112007","Salmonella Alamo (organism)","SNOMEDCT"
"10183008","Salmonella Pensacola (organism)","SNOMEDCT"
"10248003","Salmonella Travis (organism)","SNOMEDCT"
"10280001","Salmonella Tabligbo (organism)","SNOMEDCT"
"10343005","Salmonella Adelaide (organism)","SNOMEDCT"
"10353006","Salmonella Bournemouth (organism)","SNOMEDCT"
"1037005","Salmonella Aragua (organism)","SNOMEDCT"
"10409000","Salmonella II 6,7:g,t:e,n,x:z42 (organism)","SNOMEDCT"
"10454004","Salmonella Newlands (organism)","SNOMEDCT"
"10457006","Salmonella Dakota (organism)","SNOMEDCT"
"10556004","Salmonella Norwich (organism)","SNOMEDCT"
"1056000","Salmonella II, 4,12:l,z28:- (organism)","SNOMEDCT"
"105766000","Salmonella group O:51 (organism)","SNOMEDCT"
"105767009","Salmonella group O:52 (organism)","SNOMEDCT"
"105768004","Salmonella group O:53 (organism)","SNOMEDCT"
"105769007","Salmonella group O:54 (organism)","SNOMEDCT"
"105770008","Salmonella group O:55 (organism)","SNOMEDCT"
"105771007","Salmonella group O:56 (organism)","SNOMEDCT"
"105772000","Salmonella group O:57 (organism)","SNOMEDCT"
"105773005","Salmonella group O:58 (organism)","SNOMEDCT"
"105774004","Salmonella group O:59 (organism)","SNOMEDCT"
"105775003","Salmonella group O:60 (organism)","SNOMEDCT"
"105776002","Salmonella group O:61 (organism)","SNOMEDCT"
"105777006","Salmonella group O:62 (organism)","SNOMEDCT"
"105778001","Salmonella group O:63 (organism)","SNOMEDCT"
"105779009","Salmonella group O:65 (organism)","SNOMEDCT"
"105780007","Salmonella group O:66 (organism)","SNOMEDCT"
"105781006","Salmonella group O:67 (organism)","SNOMEDCT"
"10704009","Salmonella Roan (organism)","SNOMEDCT"
"10749007","Salmonella Kaitaan (organism)","SNOMEDCT"
"10762006","Salmonella Omifisan (organism)","SNOMEDCT"
"1081002","Salmonella II 9,12,(46),27:g,t:e,n,x (organism)","SNOMEDCT"
"1083004","Salmonella Wyldegreen (organism)","SNOMEDCT"
"10851004","Salmonella Clerkenwell (organism)","SNOMEDCT"
"10874000","Salmonella Bassadji (organism)","SNOMEDCT"
"10999003","Salmonella Potto (organism)","SNOMEDCT"
"110378009","Salmonella enterica (organism)","SNOMEDCT"
"11062005","Salmonella Sherbrooke (organism)","SNOMEDCT"
"11097007","Salmonella Zega (organism)","SNOMEDCT"
"11139006","Salmonella Suberu (organism)","SNOMEDCT"
"11166006","Salmonella II, group O:58 (organism)","SNOMEDCT"
"11188006","Salmonella Herzliya (organism)","SNOMEDCT"
"112285000","Salmonella Nitra (organism)","SNOMEDCT"
"112286004","Salmonella Altendorf (organism)","SNOMEDCT"
"112287008","Salmonella Sandiego (organism)","SNOMEDCT"
"112288003","Salmonella Mura (organism)","SNOMEDCT"
"112290002","Salmonella Goma (organism)","SNOMEDCT"
"112291003","Salmonella Inganda (organism)","SNOMEDCT"
"112292005","Salmonella VI 6,7:z41:1,7 (organism)","SNOMEDCT"
"112294006","Salmonella Hidalgo (organism)","SNOMEDCT"
"112295007","Salmonella Be (organism)","SNOMEDCT"
"112296008","Salmonella Virginia (organism)","SNOMEDCT"
"112297004","Salmonella Cocody (organism)","SNOMEDCT"
"112298009","Salmonella Cochin (organism)","SNOMEDCT"
"112299001","Salmonella Benfica (organism)","SNOMEDCT"
"112300009","Salmonella Yaba (organism)","SNOMEDCT"
"112301008","Salmonella Adabraka (organism)","SNOMEDCT"
"112302001","Salmonella Coquilhatville (organism)","SNOMEDCT"
"112305004","Salmonella Dessau (organism)","SNOMEDCT"
"112306003","Salmonella II 1,13,22:b:z42 (organism)","SNOMEDCT"
"112307007","Salmonella Midway (organism)","SNOMEDCT"
"112308002","Salmonella Lindern (organism)","SNOMEDCT"
"112309005","Salmonella Orientalis (organism)","SNOMEDCT"
"112311001","Salmonella Irenea (organism)","SNOMEDCT"
"112312008","Salmonella II 17:b:z6 (organism)","SNOMEDCT"
"112314009","Salmonella Pomona (organism)","SNOMEDCT"
"112319004","Salmonella Sedgwick (organism)","SNOMEDCT"
"112325000","Salmonella II 56:l,z28:- (organism)","SNOMEDCT"
"11325004","Salmonella Aqua (organism)","SNOMEDCT"
"11342005","Salmonella Othmarschen (organism)","SNOMEDCT"
"11379008","Salmonella Ughelli (organism)","SNOMEDCT"
"114266002","Salmonella II 3,10:z39:1,[5],7 (organism)","SNOMEDCT"
"114267006","Salmonella Pietersburg (organism)","SNOMEDCT"
"114268001","Salmonella Goelzau var 15+ (organism)","SNOMEDCT"
"114269009","Salmonella enterica subspecies enterica serovar Butantan var O:15+ (organism)","SNOMEDCT"
"114271009","Salmonella Souza var 15+ (organism)","SNOMEDCT"
"114272002","Salmonella Vejle var 15+ (organism)","SNOMEDCT"
"114273007","Salmonella Muenster var 15+ (organism)","SNOMEDCT"
"114274001","Salmonella Anatum var 15+ (organism)","SNOMEDCT"
"114275000","Salmonella Nyborg var 15+ (organism)","SNOMEDCT"
"114277008","Salmonella Amsterdam var. 15+ (organism)","SNOMEDCT"
"114278003","Salmonella Westhampton var 15+ (organism)","SNOMEDCT"
"114280009","Salmonella London var 15+ (organism)","SNOMEDCT"
"114281008","Salmonella Give var 15+ (organism)","SNOMEDCT"
"114282001","Salmonella Uganda var 15+ (organism)","SNOMEDCT"
"114283006","Salmonella Weltevreden var 15+ (organism)","SNOMEDCT"
"114284000","Salmonella Amager var 15+ (organism)","SNOMEDCT"
"114285004","Salmonella Orion var 15+ (organism)","SNOMEDCT"
"114286003","Salmonella Stockholm var 15+ (organism)","SNOMEDCT"
"114287007","Salmonella Lexington var 15+ (organism)","SNOMEDCT"
"114288002","Salmonella Oxford var 15+,34+ (organism)","SNOMEDCT"
"114289005","Salmonella Muenster var 15+,34+ (organism)","SNOMEDCT"
"114290001","Salmonella Anatum var 15+, 34+ (organism)","SNOMEDCT"
"114291002","Salmonella Meleagridis var 15+, 34+ (organism)","SNOMEDCT"
"114292009","Salmonella Westhampton var 15+, 34+ (organism)","SNOMEDCT"
"114293004","Salmonella Give var 15+, 34+ (organism)","SNOMEDCT"
"114294005","Salmonella Orion var 15+, 34+ (organism)","SNOMEDCT"
"114295006","Salmonella Lexington var 15+, 34+ (organism)","SNOMEDCT"
"114296007","Salmonella Niumi (organism)","SNOMEDCT"
"114298008","Salmonella Alkmaar (organism)","SNOMEDCT"
"114299000","Salmonella Eastglam (organism)","SNOMEDCT"
"114300008","Salmonella Bida (organism)","SNOMEDCT"
"114301007","Salmonella Hayindogo (organism)","SNOMEDCT"
"114302000","Salmonella Petahtikve (organism)","SNOMEDCT"
"114303005","Salmonella Oersterbro (organism)","SNOMEDCT"
"114305003","Salmonella Fulda (organism)","SNOMEDCT"
"114306002","Salmonella Kindia (organism)","SNOMEDCT"
"114307006","Salmonella Kinson (organism)","SNOMEDCT"
"114308001","Salmonella Kainji (organism)","SNOMEDCT"
"114309009","Salmonella Honkong (organism)","SNOMEDCT"
"114310004","Salmonella Ochiogu (organism)","SNOMEDCT"
"114312007","Salmonella Thies (organism)","SNOMEDCT"
"114313002","Salmonella Slade (organism)","SNOMEDCT"
"114314008","Salmonella II 11:a:d:e,n,z15 (organism)","SNOMEDCT"
"114315009","Salmonella VI 11:a:1,5 (organism)","SNOMEDCT"
"114316005","Salmonella II 11:a:z6:z42 (organism)","SNOMEDCT"
"114317001","Salmonella VI 11:b:1,7 (organism)","SNOMEDCT"
"114318006","Salmonella VI 11:b:e,n,x (organism)","SNOMEDCT"
"114319003","Salmonella Brindisi (organism)","SNOMEDCT"
"114320009","Salmonella II 11:c:e,n,z15 (organism)","SNOMEDCT"
"114321008","Salmonella Woodinville (organism)","SNOMEDCT"
"114322001","Salmonella Ati (organism)","SNOMEDCT"
"114323006","Salmonella Abuja (organism)","SNOMEDCT"
"114324000","Salmonella Missouri (organism)","SNOMEDCT"
"114325004","Salmonella II 11:g,[m],s,t:z39 (organism)","SNOMEDCT"
"114326003","Salmonella IV 11:g,z51:- (organism)","SNOMEDCT"
"114327007","Salmonella Moers (organism)","SNOMEDCT"
"114328002","Salmonella II 11:m,t:e,n,x (organism)","SNOMEDCT"
"114329005","Salmonella Mannheim (organism)","SNOMEDCT"
"114330000","Salmonella IIIb 11:k:z53 (organism)","SNOMEDCT"
"114331001","Salmonella IIIb 11:l,v:z (organism)","SNOMEDCT"
"114332008","Salmonella IIIb 11:l,v:z53 (organism)","SNOMEDCT"
"114333003","Salmonella Tours (organism)","SNOMEDCT"
"114334009","Salmonella Connecticut (organism)","SNOMEDCT"
"114335005","Salmonella II 11:l,z28:e,n,x (organism)","SNOMEDCT"
"114337002","Salmonella Euston (organism)","SNOMEDCT"
"114338007","Salmonella Maroua (organism)","SNOMEDCT"
"114339004","Salmonella II 11:z:e,n,x (organism)","SNOMEDCT"
"114340002","Salmonella II 11:z:z39 (organism)","SNOMEDCT"
"114341003","Salmonella IIIa 11:z4,z23:- (organism)","SNOMEDCT"
"114342005","Salmonella IV 11:z4,z23:- (organism)","SNOMEDCT"
"114344006","Salmonella II 1,13,23:a:1,5 (organism)","SNOMEDCT"
"114345007","Salmonella II 1,13,23:a:e,n,x (organism)","SNOMEDCT"
"114346008","Salmonella II 1,13,23:a:z42 (organism)","SNOMEDCT"
"114347004","Salmonella II 1,13,23:b:[1,5]:z42 (organism)","SNOMEDCT"
"114348009","Salmonella Sanktjohann (organism)","SNOMEDCT"
"114349001","Salmonella Vridi (organism)","SNOMEDCT"
"114350001","Salmonella II 1,13,22:g,m,t:[1,5] (organism)","SNOMEDCT"
"114351002","Salmonella II 1,13,23:g,m,[s],t:[e,n,x] (organism)","SNOMEDCT"
"114352009","Salmonella II 1,13,23:g,t:1,5 (organism)","SNOMEDCT"
"114354005","Salmonella II 1,13,23:m,t:1,5 (organism)","SNOMEDCT"
"114355006","Salmonella II 1,13,23:m,t:e,n,x (organism)","SNOMEDCT"
"114356007","Salmonella II 13,22:m,t:z42:z39 (organism)","SNOMEDCT"
"114357003","Salmonella II 1,13,23:m,t:z42 (organism)","SNOMEDCT"
"114358008","Salmonella V 1,13,22:i:- (organism)","SNOMEDCT"
"114359000","Salmonella IIIb 13,22:l,v:1,5,7 (organism)","SNOMEDCT"
"114360005","Salmonella II 13,23:l,w:e,n,x (organism)","SNOMEDCT"
"114361009","Salmonella II 1,13,23:l,z28:z42 (organism)","SNOMEDCT"
"114362002","Salmonella V 13,22:r:- (organism)","SNOMEDCT"
"114363007","Salmonella II 1,13,23:z:1,5 (organism)","SNOMEDCT"
"114364001","Salmonella II 1,13,23:z:z42 (organism)","SNOMEDCT"
"114365000","Salmonella II 13,22:z:- (organism)","SNOMEDCT"
"114366004","Salmonella IIIa 13,22:z4,z23:- (organism)","SNOMEDCT"
"114367008","Salmonella IIIa 13,23:z4,z23,[z32]:- (organism)","SNOMEDCT"
"114368003","Salmonella II 1,13,22:z10:z6 (organism)","SNOMEDCT"
"114369006","Salmonella II 13,22:z29:1,5 (organism)","SNOMEDCT"
"114370007","Salmonella II 13,22:z29:e,n,x (organism)","SNOMEDCT"
"114371006","Salmonella II 13,22:z39:1,7 (organism)","SNOMEDCT"
"114372004","Salmonella II 1,13,23:z39:1,5,7 (organism)","SNOMEDCT"
"114373009","Salmonella II 1,13,23:[z42]:1,[5],7 (organism)","SNOMEDCT"
"114374003","Salmonella II 1,13,23:e,n,x:1,[5],7 (organism)","SNOMEDCT"
"114375002","Salmonella VI [1],6,14:a:1,5 (organism)","SNOMEDCT"
"114376001","Salmonella VI 1,6,14,25:a:e,n,x (organism)","SNOMEDCT"
"114377005","Salmonella Woodhull (organism)","SNOMEDCT"
"114378000","Salmonella Sylvania (organism)","SNOMEDCT"
"114379008","Salmonella II 1,6,14:m,t:1,5 (organism)","SNOMEDCT"
"114380006","Salmonella II 6,14:m,t:e,n,x (organism)","SNOMEDCT"
"114381005","Salmonella II 6,14,[24]:k:1,6 (organism)","SNOMEDCT"
"114382003","Salmonella IIIb 6,14:l,v:z53 (organism)","SNOMEDCT"
"114383008","Salmonella Istoria (organism)","SNOMEDCT"
"114385001","Salmonella Kanifing (organism)","SNOMEDCT"
"114386000","Salmonella Arapahoe (organism)","SNOMEDCT"
"114387009","Salmonella VI 1,6,14,25:z10:1,(2),7 (organism)","SNOMEDCT"
"114388004","Salmonella II 1,6,14:z10:1,5 (organism)","SNOMEDCT"
"114389007","Salmonella Laredo (organism)","SNOMEDCT"
"114390003","Salmonella II 1,6,14:z10:z6:z42 (organism)","SNOMEDCT"
"114391004","Salmonella IIIb 6,14:z10:z53 (organism)","SNOMEDCT"
"114392006","Salmonella IIIb 6,14:z52:e,n,x,z15 (organism)","SNOMEDCT"
"114393001","Salmonella Vegesack (organism)","SNOMEDCT"
"114394007","Salmonella Yoruba (organism)","SNOMEDCT"
"114395008","Salmonella Sculcoates (organism)","SNOMEDCT"
"114396009","Salmonella II 16:e,n,x:1,(5),7 (organism)","SNOMEDCT"
"114397000","Salmonella II 16:e,n,x:1,6:z42 (organism)","SNOMEDCT"
"114398005","Salmonella II 16:g,[m],[s],t:[1,5]:[z42] (organism)","SNOMEDCT"
"114399002","Salmonella II g,[m],[s],t:[e,n,x] (organism)","SNOMEDCT"
"114400009","Salmonella Cardoner (organism)","SNOMEDCT"
"114401008","Salmonella II 16:m,t:[z42] (organism)","SNOMEDCT"
"114402001","Salmonella Agbara (organism)","SNOMEDCT"
"114403006","Salmonella Zigong (organism)","SNOMEDCT"
"114405004","Salmonella II 16:l,z28:z42 (organism)","SNOMEDCT"
"114406003","Salmonella Ivory (organism)","SNOMEDCT"
"114407007","Salmonella Brunflo (organism)","SNOMEDCT"
"114408002","Salmonella Gerland (organism)","SNOMEDCT"
"114409005","Salmonella II 16:z:e,n,x (organism)","SNOMEDCT"
"114410000","Salmonella II 16:z4,z23:- (organism)","SNOMEDCT"
"114412008","Salmonella II 16:z4,z24:- (organism)","SNOMEDCT"
"114413003","Salmonella IV 16:z4,z32:- (organism)","SNOMEDCT"
"114414009","Salmonella Badgary (organism)","SNOMEDCT"
"114415005","Salmonella II 16:z29:1,5 (organism)","SNOMEDCT"
"114416006","Salmonella II 16:z29:e,n,x (organism)","SNOMEDCT"
"114417002","Salmonella Trier (organism)","SNOMEDCT"
"114418007","Salmonella II 16:z35:e,n,x (organism)","SNOMEDCT"
"114419004","Salmonella IV 16:z36:- (organism)","SNOMEDCT"
"114420005","Salmonella II 16:z36:e,n,z15 (organism)","SNOMEDCT"
"114421009","Salmonella Grancanaria (organism)","SNOMEDCT"
"114422002","Salmonella II 16:z42:1,(5),7 (organism)","SNOMEDCT"
"114423007","Salmonella II 16:l,w:z6 (organism)","SNOMEDCT"
"114424001","Salmonella II 16:z42:1,6 (organism)","SNOMEDCT"
"114425000","Salmonella Dahra (organism)","SNOMEDCT"
"114426004","Salmonella II 17:b:e,n,x,z15 (organism)","SNOMEDCT"
"114427008","Salmonella Luedinghausen (organism)","SNOMEDCT"
"114428003","Salmonella Karlshamn (organism)","SNOMEDCT"
"114429006","Salmonella II 17:e,n,x,z15:1,6 (organism)","SNOMEDCT"
"114430001","Salmonella II 17:e,n,x,z15:1,[5],7 (organism)","SNOMEDCT"
"114431002","Salmonella II 17:g,m,s,t:- (organism)","SNOMEDCT"
"114432009","Salmonella Lowestoft (organism)","SNOMEDCT"
"114433004","Salmonella II 17:g,t:[e,n,x,z15] (organism)","SNOMEDCT"
"114434005","Salmonella Zaria (organism)","SNOMEDCT"
"114435006","Salmonella IIIb 17:k:z (organism)","SNOMEDCT"
"114436007","Salmonella II 17:k:- (organism)","SNOMEDCT"
"114437003","Salmonella Lancaster (organism)","SNOMEDCT"
"114438008","Salmonella Tendeba (organism)","SNOMEDCT"
"114439000","Salmonella Hadejia (organism)","SNOMEDCT"
"114440003","Salmonella II 17:z:1,7 (organism)","SNOMEDCT"
"114441004","Salmonella II 17:z:l,w:z42 (organism)","SNOMEDCT"
"114462003","Salmonella Koessen (organism)","SNOMEDCT"
"114463008","Salmonella Huettwillen (organism)","SNOMEDCT"
"114464002","Salmonella II 1,4,12,27:a:z39 (organism)","SNOMEDCT"
"114465001","Salmonella II 4,12:b:1,5 (organism)","SNOMEDCT"
"114467009","Salmonella Tripoli (organism)","SNOMEDCT"
"114468004","Salmonella II 4,12:d:e,n,x (organism)","SNOMEDCT"
"114470008","Salmonella II 4,12:e,n,x:1,2,7 (organism)","SNOMEDCT"
"114471007","Salmonella II 1,4,12,27:e,n,x:1,[5]7 (organism)","SNOMEDCT"
"114472000","Salmonella II 1,4,[5],12:f,g,t:z6:z42 (organism)","SNOMEDCT"
"114473005","Salmonella II 1,4,12,27:g,[m],[s],t:e,n,x (organism)","SNOMEDCT"
"114474004","Salmonella II 1,4,12,27:g,[m],t:[1,5] (organism)","SNOMEDCT"
"114475003","Salmonella II 4,12:g,m,t:z39 (organism)","SNOMEDCT"
"114476002","Salmonella II 4,12:g,z62:- (organism)","SNOMEDCT"
"114477006","Salmonella Madras (organism)","SNOMEDCT"
"114478001","Salmonella Farsta (organism)","SNOMEDCT"
"114479009","Salmonella Tumodi (organism)","SNOMEDCT"
"114481006","Salmonella II 1,4,12,27:k:1,6 (organism)","SNOMEDCT"
"114482004","Salmonella II 4,12:l,w:e,n,x (organism)","SNOMEDCT"
"114483009","Salmonella Haduna (organism)","SNOMEDCT"
"114484003","Salmonella Finaghy (organism)","SNOMEDCT"
"114485002","Salmonella II 1,4,12,27:z:1,5 (organism)","SNOMEDCT"
"114486001","Salmonella Loubomo (organism)","SNOMEDCT"
"114487005","Salmonella II 4,12:z:1,7 (organism)","SNOMEDCT"
"114488000","Salmonella II 1,4,12,27:z:e,n,x (organism)","SNOMEDCT"
"114489008","Salmonella II 4,12,:z:z39 (organism)","SNOMEDCT"
"114490004","Salmonella Vuadens (organism)","SNOMEDCT"
"114491000","Salmonella II 1,4,12:z29:e,n,x (organism)","SNOMEDCT"
"114492007","Salmonella II 1,4,12,27:z39:1,[5],7 (organism)","SNOMEDCT"
"114493002","Salmonella Maska (organism)","SNOMEDCT"
"114494008","Salmonella II 6,7,14:a:1,5 (organism)","SNOMEDCT"
"114496005","Salmonella II 6,7:a:z42 (organism)","SNOMEDCT"
"114497001","Salmonella II 6,7:b:[e,n,x]:z42 (organism)","SNOMEDCT"
"114498006","Salmonella Schwabach (organism)","SNOMEDCT"
"114499003","Salmonella Namibia (organism)","SNOMEDCT"
"114501006","Salmonella II 6,7:d:z42 (organism)","SNOMEDCT"
"114502004","Salmonella Nola (organism)","SNOMEDCT"
"114504003","Salmonella IV 6,7:g:z51:- (organism)","SNOMEDCT"
"114506001","Salmonella Winston (organism)","SNOMEDCT"
"114507005","Salmonella Oakey (organism)","SNOMEDCT"
"114508000","Salmonella II 6,7:m,t:- (organism)","SNOMEDCT"
"114509008","Salmonella Strathcona (organism)","SNOMEDCT"
"114510003","Salmonella II 6,7:l,z28:1,5:[z42] (organism)","SNOMEDCT"
"114511004","Salmonella II 6,7:l,z28:e,n,x (organism)","SNOMEDCT"
"114512006","Salmonella Chile (organism)","SNOMEDCT"
"114513001","Salmonella Poitiers (organism)","SNOMEDCT"
"114514007","Salmonella II 6,7:z:1,5 (organism)","SNOMEDCT"
"114516009","Salmonella Planckendael (organism)","SNOMEDCT"
"114517000","Salmonella IV 6,7:z4,z23:- (organism)","SNOMEDCT"
"114518005","Salmonella II 6,7:z4,z24:z42 (organism)","SNOMEDCT"
"114519002","Salmonella IV 6,7:z4,z24:- (organism)","SNOMEDCT"
"114520008","Salmonella II 6,7:z6:1,7 (organism)","SNOMEDCT"
"114523005","Salmonella II 6,7:z29:[z42] (organism)","SNOMEDCT"
"114524004","Salmonella Tienba (organism)","SNOMEDCT"
"114525003","Salmonella Tampico (organism)","SNOMEDCT"
"114526002","Salmonella II 6,7:z36:z42 (organism)","SNOMEDCT"
"114527006","Salmonella IV 6,7:z36:- (organism)","SNOMEDCT"
"114528001","Salmonella II 6,7:z39:1,5,7 (organism)","SNOMEDCT"
"114530004","Salmonella II 6,7:l,w:z42 (organism)","SNOMEDCT"
"114531000","Salmonella II 6,7:z:z42 (organism)","SNOMEDCT"
"114532007","Salmonella II 6,7:z42:1,7 (organism)","SNOMEDCT"
"114533002","Salmonella Ohio var 14+ (organism)","SNOMEDCT"
"114534008","Salmonella Amersfoort var 14+ (organism)","SNOMEDCT"
"114535009","Salmonella Rissen var 14+ (organism)","SNOMEDCT"
"114536005","Salmonella Oranienburg var 14+ (organism)","SNOMEDCT"
"114537001","Salmonella Gdansk var 14+ (organism)","SNOMEDCT"
"114538006","Salmonella Lille var 14+ (organism)","SNOMEDCT"
"114539003","Salmonella Livingstone var 14+ (organism)","SNOMEDCT"
"114540001","Salmonella II 6,7:l,z28:z6 (organism)","SNOMEDCT"
"114541002","Salmonella Valdosta (organism)","SNOMEDCT"
"114542009","Salmonella II 6,8:a:z39 (organism)","SNOMEDCT"
"114543004","Salmonella II 6,8:a:z52 (organism)","SNOMEDCT"
"114544005","Salmonella II 6,8:b:1,5 (organism)","SNOMEDCT"
"114545006","Salmonella Portanigra (organism)","SNOMEDCT"
"114546007","Salmonella II 6,8:f,g:e,n,z15 (organism)","SNOMEDCT"
"114547003","Salmonella II 6,8:m,t:1,5 (organism)","SNOMEDCT"
"114548008","Salmonella II 6,8:m,t:e,n,x (organism)","SNOMEDCT"
"114550000","Salmonella Magherafelt (organism)","SNOMEDCT"
"114551001","Salmonella Kallo (organism)","SNOMEDCT"
"114552008","Salmonella II 6,8:l,w:z6:z42 (organism)","SNOMEDCT"
"114553003","Salmonella II 6,8:l,z28:e,n,x (organism)","SNOMEDCT"
"114554009","Salmonella Bsilla (organism)","SNOMEDCT"
"114555005","Salmonella Noya (organism)","SNOMEDCT"
"114556006","Salmonella Benue (organism)","SNOMEDCT"
"114557002","Salmonella Phaliron (organism)","SNOMEDCT"
"114558007","Salmonella Daula (organism)","SNOMEDCT"
"114559004","Salmonella Breda (organism)","SNOMEDCT"
"114560009","Salmonella Ramiremont (organism)","SNOMEDCT"
"114561008","Salmonella II 6,8:z29:1,2 (organism)","SNOMEDCT"
"114562001","Salmonella Kolda (organism)","SNOMEDCT"
"114563006","Salmonella Sindelfingen (organism)","SNOMEDCT"
"114564000","Salmonella Dunkwa (organism)","SNOMEDCT"
"114565004","Salmonella II 1,9,12:a:z42 (organism)","SNOMEDCT"
"114566003","Salmonella II 1,9,12:b:e,n,x (organism)","SNOMEDCT"
"114567007","Salmonella II 1,9,12:b:z6 (organism)","SNOMEDCT"
"114568002","Salmonella II 1,9,12:b:z39 (organism)","SNOMEDCT"
"114570006","Salmonella Eschberg (organism)","SNOMEDCT"
"114571005","Salmonella II 9,12:d:e,n,x (organism)","SNOMEDCT"
"114572003","Salmonella Bangui (organism)","SNOMEDCT"
"114573008","Salmonella II 9,12:d:z39 (organism)","SNOMEDCT"
"114574002","Salmonella II 9,12:e,n,x:1,[5],7 (organism)","SNOMEDCT"
"114575001","Salmonella II 1,9,12:g,m,s,t:e,n,x (organism)","SNOMEDCT"
"114576000","Salmonella II 9,12:g,s,t:e,n,x (organism)","SNOMEDCT"
"114577009","Salmonella II 1,9,12:g,z62:[e,n,x] (organism)","SNOMEDCT"
"114578004","Salmonella II 1,9,12:m,t:1,5 (organism)","SNOMEDCT"
"114579007","Salmonella II 1,9,12:m,t:z39 (organism)","SNOMEDCT"
"114580005","Salmonella Kotu (organism)","SNOMEDCT"
"114581009","Salmonella II 9,12:l,z28:1,5:[z42] (organism)","SNOMEDCT"
"114582002","Salmonella Powell (organism)","SNOMEDCT"
